  longitude  | latitude  |        speed         
 -122.431843 | 45.497853 |                 10.4
 -122.432515 | 45.497695 |                 10.8
 -122.433185 | 45.497522 |                 11.2
 -122.433882 | 45.497365 |                 11.2
 -122.434565 | 45.497273 |                 10.8
 -122.435032 | 45.497252 |                  7.2
 -122.435818 | 45.497225 |                    3
  -122.43649 | 45.497217 |                 10.4
 -122.437202 |  45.49721 |                   11
 -122.437907 | 45.497208 |                 10.8
   -122.4385 |  45.49721 |                  9.2
  -122.43876 | 45.497212 |                  4.2
 -122.439533 | 45.497192 |                 2.36
 -122.440195 | 45.497185 |                 10.2
 -122.440925 | 45.497165 |                 11.4
 -122.441685 | 45.497162 |                 11.8
 -122.442483 |  45.49716 |                 12.4
 -122.443305 | 45.497157 |                 12.6
 -122.444118 | 45.497155 |                 12.6
 -122.445762 | 45.497153 |                 12.8
 -122.446578 |  45.49715 |                 12.6
 -122.447392 | 45.497142 |                 12.6
 -122.448192 | 45.497133 |                 12.4
 -122.448958 |  45.49713 |                 11.8
 -122.449713 | 45.497128 |                 11.8
 -122.450465 | 45.497127 |                 11.6
  -122.45125 |  45.49712 |                   12
  -122.45205 |  45.49712 |                 12.4
 -122.452863 | 45.497117 |                 12.6
 -122.453673 | 45.497115 |                 12.6
 -122.454477 |  45.49711 |                 12.4
 -122.455268 | 45.497108 |                 12.2
 -122.456053 | 45.497102 |                 12.2
 -122.456835 | 45.497047 |                   12
 -122.457602 | 45.496873 |                 12.6
 -122.458283 | 45.496552 |                 12.6
  -122.45891 | 45.496178 |                 12.8
 -122.459503 | 45.495815 |                 12.2
 -122.460072 | 45.495468 |                 11.6
 -122.460652 | 45.495112 |                 11.8
 -122.461238 | 45.494748 |                 12.2
 -122.461815 | 45.494397 |                 11.8
 -122.462338 | 45.494077 |                 10.6
 -122.462708 | 45.493862 |                  7.4
 -122.463198 | 45.493537 |                 2.08
 -122.463678 | 45.493227 |                 10.2
 -122.464215 | 45.492892 |                   11
 -122.464765 | 45.492545 |                 11.4
 -122.465335 | 45.492197 |                 11.8
 -122.465915 | 45.491867 |                 11.4
 -122.466477 | 45.491533 |                 11.4
  -122.46706 | 45.491178 |                   12
 -122.467673 | 45.490803 |                 12.6
 -122.468327 | 45.490433 |                 12.8
  -122.46905 |  45.49011 |                 13.4
 -122.469818 | 45.489862 |                   13
 -122.470628 | 45.489702 |                   13
 -122.471445 | 45.489635 |                 12.8
  -122.47225 | 45.489648 |                 12.4
    -122.473 |  45.48975 |                 11.8
 -122.473698 | 45.489907 |                 11.4
 -122.474348 | 45.490083 |                 10.8
 -122.474998 | 45.490277 |                 10.8
 -122.475633 | 45.490468 |                 10.8
 -122.476247 |  45.49065 |                 10.2
  -122.47679 | 45.490808 |                    9
   -122.4771 | 45.490887 |                    5
 -122.477945 | 45.491022 |   0.3415841584158416
   -122.4786 | 45.491153 |                 10.6
 -122.479207 | 45.491277 |                  9.6
 -122.479685 | 45.491375 |                  7.6
 -122.479957 | 45.491428 |                  4.2
 -122.481008 | 45.491633 |                  8.6
 -122.481708 | 45.491767 |                 11.4
 -122.482453 | 45.491913 |                 11.8
 -122.483153 | 45.492053 |                 11.2
 -122.483792 | 45.492182 |                 10.2
 -122.484233 | 45.492273 |                    7
 -122.484465 | 45.492322 |                  3.4
 -122.485442 | 45.492512 |                  1.8
 -122.486162 | 45.492657 |                 11.8
 -122.486892 | 45.492808 |                 11.6
 -122.487463 | 45.492942 |                    9
 -122.488163 |  45.49307 |   1.6285714285714286
 -122.488875 | 45.493215 |                 11.6
 -122.489612 | 45.493365 |                   12
 -122.490352 | 45.493515 |                 11.8
 -122.491887 | 45.493817 |                 12.3
 -122.492645 | 45.493975 |                 12.4
 -122.493388 |  45.49413 |                   12
 -122.494098 | 45.494285 |                 11.2
   -122.4946 | 45.494423 |                    8
  -122.49566 | 45.494615 |   2.4571428571428573
  -122.49624 | 45.494738 |                  9.2
 -122.496458 | 45.494782 |                    3
  -122.49647 | 45.494785 |                0.025
 -122.496713 | 45.494835 |                  4.4
 -122.497248 | 45.494947 |                  8.8
 -122.497898 | 45.495082 |                 10.6
  -122.49861 | 45.495223 |                 11.6
 -122.499348 | 45.495373 |                 11.8
 -122.500095 | 45.495525 |                   12
 -122.500875 | 45.495683 |                 12.6
 -122.501698 |  45.49584 |                 13.4
 -122.502542 | 45.496003 |                 13.4
 -122.503368 | 45.496187 |                 13.4
 -122.504198 | 45.496397 |                 13.6
 -122.505023 |  45.49661 |                 13.8
 -122.505842 | 45.496828 |                 13.4
