  longitude  | latitude  |        speed        
 -122.695508 | 45.569775 |                 5.2
 -122.675112 | 45.484745 |                 NaN
 -122.675112 | 45.484745 |                 1.5
 -122.674865 | 45.484285 |                 NaN
 -122.674865 | 45.484285 |                11.2
 -122.674597 | 45.483785 |                 NaN
 -122.674597 | 45.483785 |                  12
 -122.674325 | 45.483275 |                12.2
 -122.674325 | 45.483275 |                 NaN
 -122.674055 | 45.482735 |                12.8
 -122.674055 | 45.482735 |                 NaN
 -122.673848 | 45.482223 |                 NaN
 -122.673848 | 45.482223 |                  12
 -122.695505 | 45.569807 |               0.075
   -122.6737 | 45.481793 |                 9.6
   -122.6737 | 45.481793 |                 NaN
 -122.695513 | 45.570028 |                 5.8
 -122.673625 | 45.481558 |                   5
 -122.673625 | 45.481558 |                 NaN
 -122.695532 | 45.570442 |                 9.4
 -122.673565 |  45.48136 |                 4.8
 -122.673565 |  45.48136 |                 NaN
 -122.695533 | 45.570943 |                11.2
  -122.67345 | 45.481008 |                 NaN
  -122.67345 | 45.481008 |                 8.4
 -122.695515 | 45.571472 |                11.6
 -122.673293 | 45.480545 |                10.8
 -122.673293 | 45.480545 |                 NaN
 -122.695505 |    45.572 |                11.6
  -122.67311 | 45.480035 |                11.8
  -122.67311 | 45.480035 |                 NaN
 -122.695523 | 45.572522 |                11.4
 -122.672945 | 45.479542 |                 NaN
 -122.672945 | 45.479542 |                11.4
 -122.695525 | 45.573012 |                10.6
 -122.672785 | 45.479045 |                11.4
 -122.672785 | 45.479045 |                 NaN
 -122.695502 | 45.573388 |                 7.6
  -122.67262 | 45.478545 |                11.6
  -122.67262 | 45.478545 |                 NaN
  -122.67246 |  45.47806 |                  11
  -122.67246 |  45.47806 |                 NaN
 -122.672343 |   45.4777 |                   8
 -122.672343 |   45.4777 |                 NaN
 -122.672322 | 45.477623 |                 NaN
 -122.672322 | 45.477623 |                 1.2
  -122.69549 | 45.574042 |                   3
 -122.695478 | 45.574502 |                10.2
 -122.695478 | 45.574955 |                  10
 -122.695492 | 45.575415 |                  10
 -122.695485 |  45.57588 |                10.4
 -122.672288 |  45.47751 |                 NaN
 -122.672288 |  45.47751 |                 0.5
 -122.695483 | 45.576353 |                10.4
 -122.672187 | 45.477197 |                 7.6
 -122.672187 | 45.477197 |                 NaN
 -122.695493 | 45.576757 |                 8.2
 -122.672055 | 45.476752 |                10.4
 -122.672055 | 45.476752 |                 NaN
   -122.6955 | 45.576957 |                 3.6
 -122.671937 | 45.476247 |                11.6
 -122.671937 | 45.476247 |                 NaN
 -122.671862 | 45.475697 |                 NaN
