  longitude  | latitude  |        speed         
 -122.451637 | 45.519173 |                 11.6
 -122.451963 | 45.519178 |                  4.2
 -122.452507 | 45.519172 |                  2.3
 -122.453012 |  45.51917 |                  7.8
 -122.453512 | 45.519173 |                  7.6
 -122.454025 | 45.519175 |                    8
 -122.454577 | 45.519177 |                  8.6
 -122.455132 | 45.519183 |                  8.6
 -122.455642 | 45.519183 |                  7.8
 -122.456208 | 45.519183 |                    9
 -122.456817 | 45.519185 |                  9.4
 -122.457438 | 45.519185 |                  9.6
 -122.458097 | 45.519185 |                 10.2
 -122.458755 | 45.519187 |                 10.2
 -122.459417 | 45.519187 |                 10.2
 -122.460087 | 45.519188 |                 10.4
  -122.46076 |  45.51919 |                 10.4
 -122.461407 | 45.519192 |                   10
 -122.462003 | 45.519193 |                    9
 -122.462578 | 45.519193 |                    9
 -122.463177 | 45.519193 |                  9.2
 -122.463758 | 45.519195 |                    9
 -122.464312 | 45.519197 |                  8.4
 -122.464828 | 45.519195 |                    8
 -122.465192 | 45.519195 |                  4.8
 -122.465943 |   45.5192 |   1.7714285714285714
 -122.466412 | 45.519192 |                    7
 -122.466785 | 45.519193 |                  5.6
 -122.466997 | 45.519192 |                  2.8
  -122.46709 | 45.519192 |                  1.2
 -122.467098 |  45.51919 | 0.022222222222222223
  -122.46742 | 45.519193 |                  6.2
 -122.468098 | 45.519195 |                 10.8
 -122.468878 | 45.519208 |                 12.4
 -122.469755 | 45.519217 |   10.666666666666666
 -122.470113 | 45.519222 |                 6.25
  -122.47112 | 45.519215 |   0.8372093023255814
 -122.471933 | 45.519218 |                 12.6
  -122.47334 | 45.519225 |    12.88888888888889
 -122.473605 |  45.51923 |   0.6666666666666666
 -122.473893 |  45.51923 |                  4.2
 -122.474342 | 45.519227 |                    7
 -122.474802 | 45.519227 |                    7
 -122.475253 | 45.519228 |                    7
 -122.475678 | 45.519228 |                  6.6
 -122.476077 |  45.51923 |                  6.2
 -122.476437 | 45.519232 |                  5.4
 -122.476683 | 45.519232 |                    4
 -122.476758 |  45.51923 |                  1.2
 -122.476923 | 45.519232 |                  0.4
 -122.477405 |  45.51923 |                  7.2
 -122.478057 | 45.519225 |                 10.2
 -122.478682 | 45.519232 |                  9.6
 -122.479045 | 45.519235 |                  5.8
 -122.479392 |  45.51923 |   0.5777777777777777
 -122.479833 | 45.519225 |                  6.8
 -122.480358 | 45.519222 |                    8
 -122.480923 | 45.519218 |                  8.8
   -122.4815 |  45.51922 |                    9
   -122.4821 | 45.519218 |                  9.2
  -122.48273 | 45.519218 |                  9.6
 -122.483353 | 45.519215 |                  9.6
 -122.483952 | 45.519215 |                  9.4
 -122.484493 | 45.519217 |                  8.4
 -122.485048 | 45.519217 |                  8.4
  -122.48564 | 45.519218 |                  9.2
 -122.486252 | 45.519217 |                  9.4
   -122.4869 | 45.519217 |                   10
  -122.48756 | 45.519217 |                 10.2
 -122.488192 | 45.519215 |                  9.8
 -122.488795 | 45.519215 |                  9.4
  -122.48941 | 45.519215 |                  9.4
 -122.490025 | 45.519215 |                  9.6
 -122.490598 | 45.519218 |                  8.8
 -122.490973 | 45.519227 |                  5.8
  -122.49169 | 45.519218 |                 2.75
 -122.492333 |  45.51922 |                   10
 -122.492953 |  45.51922 |                  9.6
 -122.493473 |  45.51923 |                    8
 -122.493678 | 45.519232 |                  3.2
 -122.494087 | 45.519228 |    2.066666666666667
 -122.494615 | 45.519222 |                  8.2
 -122.495178 |  45.51922 |                  8.8
 -122.495703 | 45.519222 |                    8
 -122.496108 | 45.519228 |                  6.2
 -122.497023 | 45.519222 |   1.0923076923076922
 -122.497503 | 45.519202 |                  7.4
 -122.498175 |  45.51918 |                 10.6
 -122.498995 |  45.51919 |                 12.6
 -122.499577 |  45.51923 |                    9
 -122.499723 | 45.519233 |                  2.2
 -122.499723 | 45.519233 |                    0
 -122.499798 | 45.519228 |                  1.5
 -122.500633 | 45.519217 |                  6.5
 -122.501137 | 45.519223 |                  7.6
 -122.501645 | 45.519223 |                    8
 -122.502193 | 45.519225 |                  8.4
 -122.502778 |  45.51923 |                    9
  -122.50335 | 45.519228 |                  8.8
 -122.503898 | 45.519223 |                  8.6
 -122.504452 | 45.519222 |                  8.4
 -122.505025 | 45.519225 |                    9
   -122.5056 | 45.519233 |                  8.8
 -122.506172 | 45.519233 |                  8.8
 -122.506733 | 45.519227 |                  8.8
 -122.507268 |  45.51922 |                  8.2
 -122.507788 | 45.519218 |                    8
 -122.508332 |  45.51922 |                  8.4
 -122.508905 |  45.51922 |                  8.8
 -122.509473 | 45.519215 |                   11
 -122.509967 | 45.519215 |    6.333333333333333
 -122.510292 | 45.519223 |                    5
 -122.511042 | 45.519208 |   1.3409090909090908
 -122.511655 | 45.519208 |                  9.6
 -122.512313 | 45.519208 |                   10
  -122.51296 | 45.519202 |                   10
 -122.513587 | 45.519198 |                  9.8
 -122.514913 | 45.519197 |                 10.2
 -122.515582 | 45.519193 |                 10.4
 -122.516237 | 45.519188 |                 10.2
 -122.516855 | 45.519187 |                  9.4
 -122.517322 | 45.519193 |                    7
 -122.517442 | 45.519195 |                  1.8
 -122.518413 |  45.51918 |                  3.8
   -122.5189 | 45.519178 |                  7.6
 -122.519485 | 45.519183 |                    9
 -122.520052 | 45.519182 |                  8.8
 -122.520507 | 45.519173 |                  6.8
 -122.520803 | 45.519172 |                  4.6
  -122.52098 | 45.519172 |                  2.8
 -122.521362 | 45.519175 |                    6
 -122.521907 | 45.519175 |                  8.4
 -122.522507 | 45.519168 |                  9.4
 -122.523087 | 45.519165 |                    9
 -122.523668 | 45.519165 |                    9
 -122.561428 | 45.522762 |              4.08375
 -122.562212 | 45.522763 |                   12
 -122.562813 | 45.522772 |                  8.4
 -122.562998 | 45.522772 |                    2
  -122.56398 | 45.522723 |                 4.15
 -122.564733 |  45.52271 |                 12.2
  -122.56565 | 45.522708 |                 14.2
 -122.566602 | 45.522702 |                 14.8
 -122.568538 | 45.522705 |                   15
 -122.569535 | 45.522715 |                 15.2
  -122.57047 |  45.52275 |                 14.4
 -122.571387 | 45.522753 |                 14.2
 -122.572272 | 45.522758 |                 13.4
 -122.573083 | 45.522777 |                   10
 -122.573652 |   45.5228 |                  9.2
 -122.574382 | 45.522755 |                 2.75
  -122.57514 | 45.522753 |                 11.8
 -122.575962 | 45.522758 |                 12.6
 -122.576787 |  45.52277 |                 12.8
 -122.577592 | 45.522785 |                 12.4
 -122.578327 |   45.5228 |                 11.4
 -122.578663 | 45.522808 |                  5.4
 -122.578997 | 45.522805 |   0.8333333333333334
 -122.579427 | 45.522808 |                  6.6
 -122.580015 | 45.522793 |                    9
  -122.58073 | 45.522788 |                   11
 -122.581383 | 45.522793 |                 10.2
   -122.5821 | 45.522798 |                   11
 -122.582823 | 45.522805 |                 11.2
 -122.583553 |  45.52282 |                 11.2
 -122.584257 |  45.52283 |                   11
 -122.584957 | 45.522837 |                 10.6
 -122.585622 |  45.52284 |                 10.4
 -122.586252 | 45.522845 |                  9.8
 -122.586873 | 45.522847 |                  9.6
 -122.587477 | 45.522923 |                  9.4
 -122.588047 | 45.523095 |                  9.6
 -122.588588 | 45.523137 |                  8.6
 -122.588837 | 45.523142 |                  3.8
 -122.589495 | 45.523117 |                  2.5
 -122.590142 | 45.523122 |                   10
 -122.590832 |  45.52312 |                 10.8
 -122.591483 | 45.523117 |                   10
 -122.592675 | 45.523163 |                  9.2
 -122.593148 | 45.523155 |                  7.4
 -122.593368 | 45.523152 |                  3.6
 -122.593412 | 45.523153 |                  0.6
 -122.593743 | 45.523147 |                    5
 -122.594298 | 45.523158 |                  8.6
  -122.59478 | 45.523167 |                  7.4
 -122.594977 | 45.523163 |                  3.2
 -122.595647 |  45.52315 |                 2.55
 -122.596185 | 45.523147 |                  8.4
 -122.596748 | 45.523142 |                  8.8
 -122.597347 | 45.523117 |                  9.2
 -122.597932 |  45.52301 |                  9.4
 -122.598545 | 45.522915 |                  9.8
 -122.599177 | 45.522912 |                  9.6
 -122.599813 | 45.522912 |                   10
 -122.600442 | 45.522913 |                  9.6
  -122.60106 | 45.522918 |                  9.6
  -122.60161 | 45.522918 |                  8.4
 -122.602025 | 45.522918 |                  6.4
  -122.60256 | 45.522893 |   1.3666666666666667
 -122.603233 | 45.522887 |                 10.4
 -122.603982 | 45.522885 |                 11.6
 -122.604782 | 45.522888 |                 12.4
 -122.605573 | 45.522893 |                 12.2
  -122.60632 | 45.522897 |                 11.6
 -122.606987 | 45.522897 |                 10.2
 -122.607375 | 45.522925 |                    6
 -122.607857 | 45.522908 |                0.925
  -122.60833 | 45.522908 |                  7.4
 -122.608503 | 45.522908 |               0.8125
 -122.608588 |  45.52291 |                  1.5
 -122.608612 |  45.52291 |   0.6666666666666666
 -122.608612 |  45.52291 |                    0
 -122.608612 |  45.52291 |                    0
 -122.608845 | 45.522912 |                  3.6
 -122.609402 | 45.522912 |                  8.8
 -122.609885 |  45.52293 |                  7.4
 -122.610085 | 45.522945 |                    3
 -122.611108 | 45.522918 |                  3.2
  -122.61178 | 45.522917 |                 10.2
 -122.612477 | 45.522918 |                 10.8
 -122.613207 | 45.522923 |                 11.4
 -122.613902 | 45.522955 |                 10.6
 -122.614475 |  45.52298 |                  8.8
 -122.614772 | 45.522995 |                  4.6
 -122.614852 | 45.523005 |                    1
 -122.614907 | 45.523015 |   0.3333333333333333
 -122.615272 | 45.523107 |                    6
 -122.615755 | 45.523168 |                  7.8
 -122.616312 | 45.523163 |                  8.6
 -122.616905 | 45.523155 |                  9.2
 -122.617517 | 45.523087 |                  9.6
  -122.61814 |  45.52291 |                 10.4
 -122.618813 | 45.522792 |                 10.8
 -122.619472 | 45.522867 |                 10.2
 -122.620018 |  45.52308 |                  9.6
 -122.620692 | 45.523247 |                 11.2
 -122.621483 | 45.523388 |                 12.4
 -122.622158 | 45.523512 |                 10.8
 -122.622595 | 45.523572 |                  6.8
 -122.622842 | 45.523588 |                  3.6
 -122.623518 |  45.52357 |    3.533333333333333
 -122.624272 | 45.523487 |                 11.8
 -122.625102 | 45.523332 |                 13.4
